,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209
Wavelength,nm,,Sample,N,DP,Speed,BW,DIT,Acc,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500
Unnamed: 1,,"DP 0,1 nm, 50 nm/min BW 5 nm, DIT 8 sec",A,1,0.1,50,5,8,1,-0.00241297,-0.101266,-0.19779,-0.291774,-0.272829,-0.278902,-0.340438,-0.230261,-0.259041,-0.291868,-0.139474,-0.112443,-0.0797657,-0.0543367,-0.130059,-0.0164757,-0.00146173,0.0749611,0.124293,0.161234,0.0550852,0.14437,0.174964,0.208876,0.209175,0.0607712,0.0331256,0.0290522,-0.0161237,-0.122201,-0.0890045,-0.0778966,-0.105353,-0.0873347,-0.2257,-0.260048,-0.28935,-0.260917,-0.133893,-0.0620015,-0.131254,-0.228929,-0.17131,0.0163783,0.126187,0.0718296,0.13397,0.0636103,0.00575149,-0.0202112,0.172414,0.18529,0.159273,0.0260118,0.0836198,0.101575,-0.0030856,0.0843206,0.0644124,-0.0150251,0.0114211,-0.0806671,0.15685,0.124629,0.0102585,0.106411,0.0874386,0.115302,0.218975,0.303289,0.257397,0.234692,0.137707,0.0833474,0.131627,0.188211,0.0975483,0.0419747,-0.166575,-0.143648,-0.184344,-0.0291876,-0.128744,-0.104471,-0.0781546,-0.119554,-0.141808,-0.146211,-0.0759348,-0.0553867,-0.190649,-0.198792,-0.194919,-0.283842,-0.312919,-0.339875,-0.275484,-0.287262,-0.155107,-0.272702,-0.177793,-0.221062,-0.110395,0.0970909,0.0317758,-0.0473098,0.0215298,-0.136368,-0.0346681,0.193159,-0.135305,-0.100044,-0.212844,-0.247791,-0.124624,-0.140044,-0.372085,-0.329965,-0.426438,-0.446276,-0.48131,-0.567026,-0.558111,-0.590352,-0.610382,-0.667341,-0.560482,-0.546505,-0.595287,-0.580732,-0.590733,-0.632035,-0.609441,-0.648895,-0.637519,-0.70267,-0.735123,-0.685574,-0.655737,-0.542691,-0.518062,-0.486198,-0.484545,-0.483686,-0.427836,-0.372142,-0.413222,-0.36577,-0.357773,-0.389576,-0.273122,-0.164651,-0.251739,-0.196874,-0.267882,-0.312696,-0.339895,-0.355896,-0.466691,-0.547845,-0.644172,-0.523133,-0.501787,-0.508771,-0.575798,-0.544684,-0.556538,-0.434024,-0.383393,-0.359191,-0.551044,-0.594266,-0.543936,-0.471669,-0.469434,-0.523035,-0.503553,-0.499646,-0.589429,-0.575873,-0.460466,-0.565652,-0.600271,-0.485268,-0.463419,-0.459431,-0.585316,-0.433234,-0.427504,-0.495601,-0.454056,-0.488359,-0.580977,-0.685428,-0.648723,-0.645737,-0.60294,-0.651931,-0.538202,-0.464663,-0.414579
Unnamed: 2,,"DP 0,5 nm, 50 nm/min BW 5 nm,  DIT 8 sec",A,2,0.5,50,5,8,1,-0.351422,-0.370841,-0.432761,-0.48319,-0.509866,-0.51099,-0.450745,-0.45429,-0.36098,-0.315824,-0.222029,-0.171633,-0.0487332,-0.0335658,-0.0410994,-0.173876,-0.234607,-0.183072,-0.28392,-0.322711,-0.279523,-0.354309,-0.427305,-0.420552,-0.412206,-0.461154,-0.39561,-0.364639,-0.386303,-0.416607,-0.438645,-0.397664,-0.395389,-0.281996,-0.273642,-0.236761,-0.187552,-0.262845,-0.340971,-0.261691,-0.300043,-0.319276,-0.403093,-0.453049,-0.54865,-0.578487,-0.531872,-0.527273,-0.361821,-0.402543,-0.351169,-0.325442,-0.113672,-0.161213,-0.0317554,0.0266877,0.0447744,-0.0328659,-0.0770188,-0.078171,-0.0437516,-0.156571,-0.159858,-0.224084,-0.370381,-0.336758,-0.460259,-0.297664,-0.246105,-0.23757,-0.360617,-0.336978,-0.177989,-0.154605,-0.235144,-0.103796,-0.0531669,-0.0929874,-0.169535,0.0490095,-0.11971,-0.108074,-0.21219,-0.165852,-0.133156,-0.132441,-0.0628717,-0.114494,-0.145851,-0.28922,-0.296513,-0.0691189,-0.103885,-0.157266,-0.251668,-0.336817,-0.407018,-0.366224,-0.449942,-0.371813,-0.396709,-0.317748,-0.270411,-0.189575,-0.138154,0.138781,0.0135501,0.0208712,-0.0941931,-0.252901,-0.275411,-0.307975,-0.431384,-0.513974,-0.665448,-0.616394,-0.733679,-0.744894,-0.729264,-0.882886,-0.890856,-0.911293,-0.839799,-1.01237,-1.16765,-1.22029,-1.14671,-1.17918,-1.1053,-1.17612,-1.1767,-1.3253,-1.22687,-1.02979,-0.997301,-1.06629,-1.06058,-0.978844,-0.917664,-1.04523,-0.976238,-0.89268,-0.982628,-1.06778,-0.916604,-0.938524,-0.927339,-0.828781,-0.775647,-0.664161,-0.567773,-0.670808,-0.55684,-0.591945,-0.61762,-0.736504,-0.819513,-0.820212,-0.892077,-0.950267,-1.07337,-1.13364,-1.07291,-1.17151,-1.0319,-0.945337,-0.994883,-0.926759,-0.919033,-0.936395,-0.82373,-0.805221,-0.721568,-0.733966,-0.769581,-0.812062,-0.915185,-0.998627,-0.986207,-1.08849,-1.1611,-1.21138,-1.17311,-1.14991,-1.13789,-1.06227,-1.068,-1.20659,-1.21151,-1.23117,-1.13901,-1.11444,-1.09052,-1.11913,-1.22052,-1.01961,-0.902346,-0.799053,-0.763611,-0.836434,-0.903281
Unnamed: 3,,"DP 1 nm, 50 nm/min BW 5 nm, DIT 8 sec",A,3,1,50,5,8,1,-0.638326,-0.491375,-0.543093,-0.53887,-0.469979,-0.506591,-0.490664,-0.356053,-0.369432,-0.349551,-0.414685,-0.412225,-0.265449,-0.210911,-0.131599,-0.144992,-0.0597062,-0.0728797,-0.151746,-0.19596,-0.10069,-0.0988811,-0.155446,-0.214268,-0.252904,-0.283662,-0.347564,-0.364872,-0.356183,-0.352324,-0.375871,-0.433169,-0.441634,-0.465627,-0.538296,-0.451091,-0.485016,-0.519244,-0.490857,-0.534899,-0.492389,-0.526934,-0.5184,-0.583858,-0.610418,-0.594808,-0.57843,-0.592388,-0.640079,-0.596214,-0.641858,-0.703142,-0.653341,-0.543042,-0.667093,-0.737867,-0.797932,-0.763935,-0.738609,-0.763782,-0.696343,-0.640873,-0.671662,-0.530935,-0.48492,-0.385181,-0.363135,-0.238406,-0.342243,-0.188024,-0.315665,-0.344146,-0.302523,-0.296765,-0.308359,-0.467991,-0.486146,-0.567625,-0.553115,-0.480304,-0.392864,-0.393311,-0.516153,-0.544815,-0.506314,-0.425105,-0.629828,-0.667228,-0.530865,-0.564416,-0.371181,-0.394851,-0.327293,-0.310199,-0.215633,-0.0908272,0.0447895,0.0250596,-0.213889,-0.139032,-0.188783,-0.163411,-0.468458,-0.398614,-0.387049,-0.412374,-0.498743,-0.566451,-0.624385,-0.644032,-0.745449,-0.66259,-0.778935,-0.895894,-0.88244,-0.887328,-0.634046,-0.684189,-0.80184,-0.856955,-0.604783,-0.676435,-0.622352,-0.621123,-0.746033,-0.723769,-0.771264,-0.733647,-0.763851,-0.844907,-0.875305,-1.00456,-1.10299,-1.11061,-1.16188,-1.23037,-1.26352,-1.16848,-1.18462,-1.17561,-1.07422,-1.05746,-1.0352,-0.989701,-0.913236,-0.955799,-1.00981,-1.05315,-1.07533,-1.11806,-1.19024,-1.15019,-1.09816,-1.10099,-1.06824,-0.954765,-0.904624,-0.816079,-0.788211,-0.721081,-0.781553,-0.894804,-0.911872,-0.900633,-1.0456,-1.07234,-1.0783,-1.05116,-1.07111,-1.0169,-0.93951,-0.946829,-0.91644,-0.930138,-0.890205,-0.87054,-0.878091,-0.901525,-1.03612,-1.00111,-0.989467,-0.961725,-0.974154,-1.01391,-1.06499,-1.15743,-1.17994,-1.13867,-1.23129,-1.24534,-1.18681,-1.2369,-1.1807,-1.18883,-1.17325,-1.10903,-1.07278,-1.11223,-1.15405,-1.18514,-1.20978
Unnamed: 4,,"DP 1 nm, 50 nm/min BW 8 nm, DIT 8 sec ",A,4,1,50,8,8,1,-0.382237,-0.373864,-0.267551,-0.286905,-0.173548,-0.195772,-0.148909,-0.162226,-0.212582,-0.257067,-0.272087,-0.274589,-0.294386,-0.337954,-0.254421,-0.221459,-0.250681,-0.136487,-0.0531623,-0.0585576,-0.0105109,0.0129287,0.00701411,0.0262849,-0.061581,-0.109353,-0.169632,-0.23737,-0.312925,-0.343093,-0.332031,-0.30275,-0.340764,-0.343734,-0.360378,-0.282737,-0.264309,-0.255904,-0.200192,-0.180065,-0.169915,-0.15329,-0.145619,-0.17564,-0.164461,-0.163723,-0.124438,-0.140335,-0.112166,-0.0765481,-0.113677,-0.0721338,-0.0409209,-0.0840661,-0.0897392,-0.182927,-0.184565,-0.204976,-0.117171,-0.0636095,-0.0948811,-0.143361,-0.171201,-0.201612,-0.172201,-0.185933,-0.21182,-0.197769,-0.293453,-0.288622,-0.204536,-0.292268,-0.211885,-0.203345,-0.168694,-0.212722,-0.203323,-0.139961,-0.320808,-0.317235,-0.36667,-0.309601,-0.297795,-0.267648,-0.248546,-0.227119,-0.293183,-0.220161,-0.177657,-0.209489,-0.175837,-0.255351,-0.416103,-0.473461,-0.546015,-0.499063,-0.583826,-0.666197,-0.620969,-0.495195,-0.639472,-0.508554,-0.465562,-0.309527,-0.438265,-0.367195,-0.407634,-0.361058,-0.39284,-0.294129,-0.358515,-0.391975,-0.515462,-0.476844,-0.439525,-0.420765,-0.390125,-0.584385,-0.730575,-0.774293,-0.566174,-0.735021,-0.83296,-0.775951,-0.918306,-1.10515,-1.08007,-0.988873,-1.05805,-1.00921,-1.03734,-0.88259,-0.880698,-0.848246,-0.836393,-0.837356,-0.787295,-0.726346,-0.696068,-0.676675,-0.659327,-0.678228,-0.668137,-0.58367,-0.553875,-0.542354,-0.537834,-0.497701,-0.520417,-0.535734,-0.551471,-0.482392,-0.495341,-0.473135,-0.371372,-0.391202,-0.460774,-0.384349,-0.368349,-0.285162,-0.335846,-0.34146,-0.346243,-0.460702,-0.438438,-0.405757,-0.336692,-0.329187,-0.404247,-0.369473,-0.33535,-0.31634,-0.277868,-0.278678,-0.261443,-0.312368,-0.373475,-0.401954,-0.444724,-0.478763,-0.516752,-0.519106,-0.504472,-0.491054,-0.517242,-0.521906,-0.495865,-0.439533,-0.353673,-0.359098,-0.290593,-0.35791,-0.370671,-0.355043,-0.385507,-0.393051,-0.462126,-0.428503,-0.482493,-0.429391,-0.472959
Unnamed: 5,,"DP 0,5 nm BW 5 nm 50 nm/min DIT 4 sec   Ac. 1",A,5,0.5,50,5,4,1,0.366509,0.458032,0.366705,0.378463,0.443345,0.430585,0.401082,0.597239,0.563011,0.564499,0.678826,0.63743,0.650251,0.582761,0.509466,0.249791,0.383188,0.546724,0.529008,0.440397,0.521517,0.50545,0.431901,0.437753,0.599676,0.610997,0.437325,0.528005,0.512496,0.392082,0.178766,0.182731,0.120806,0.00620411,0.152745,0.14473,0.281306,0.266434,0.24984,0.290589,0.262801,0.281222,0.383167,0.542842,0.543073,0.555576,0.495553,0.584382,0.613648,0.522452,0.523286,0.390245,0.371235,0.374997,0.414335,0.302197,0.547012,0.422224,0.299184,0.185799,0.385514,0.385646,0.162355,0.070614,0.119495,-0.0810421,0.0255077,0.195309,0.361742,0.585494,0.630546,0.56785,0.809912,0.801792,1.04228,1.10374,1.33637,1.19679,0.977924,0.663444,0.601833,0.546833,0.266677,0.181772,0.308323,0.402515,0.471278,0.641802,0.720459,0.625976,0.536084,0.769279,1.16256,0.856231,0.427793,0.272792,-0.143436,-0.204101,0.247516,0.78135,0.990016,1.21933,1.11073,1.1065,0.691106,0.685962,0.518201,0.857372,0.666701,-0.00932428,0.027946,-0.26872,-0.342815,-0.275935,0.341608,0.464847,0.934394,1.10548,1.15484,0.659035,0.50488,0.286983,0.265466,0.238469,0.448418,0.596351,0.586883,0.721636,0.61253,0.649715,0.567988,0.701896,0.521253,0.350097,0.497808,0.385606,0.300826,0.537605,0.606642,0.629104,0.520329,0.541544,0.327194,0.102831,0.386919,0.0516087,-0.0662545,0.0620869,0.270576,0.242502,0.34807,0.373873,0.235206,0.198436,0.381269,0.465964,0.558779,0.594403,0.695554,0.806461,0.891746,1.07655,1.15977,0.961474,0.707475,0.649685,0.55686,0.680626,0.806268,0.903833,0.847451,0.714688,0.5354,0.618813,0.666608,0.692031,0.718561,0.615406,0.446027,0.287042,0.48626,0.374038,0.51587,0.716577,0.668861,0.590515,0.751513,0.919246,0.807288,0.830842,0.77854,0.662258,0.486049,0.624599,0.584906,0.644645,0.581704,0.608906,0.435869,0.432625,0.283708
Unnamed: 6,,"DP 0,5 nm 100 m/min, BW 8 nm DIT 4 sec  Ac. 3",A,6,0.5,100,8,4,3,-0.0178227,0.00453359,0.0336108,0.0455201,0.0791171,0.150016,0.160382,0.158423,0.140781,0.162348,0.189859,0.195683,0.167404,0.131109,0.129657,0.0805202,0.0928787,0.054829,0.0376952,-0.0108962,-0.028811,0.00992281,0.0996916,0.0907103,0.112017,0.186897,0.188326,0.173477,0.226707,0.321962,0.328823,0.282686,0.314612,0.246195,0.211003,0.177433,0.204901,0.204754,0.0978951,0.0685572,0.0684675,0.0812068,0.123841,0.126745,0.130099,0.0924745,0.0866174,0.0498273,0.088702,0.10556,0.0716574,0.00879097,0.0654741,0.056949,0.0963359,0.108897,0.21151,0.224777,0.171556,0.166468,0.0906193,0.0869002,0.133496,0.186081,0.144815,0.14876,0.0745982,0.140372,0.197653,0.263705,0.353424,0.357898,0.291116,0.242918,0.270054,0.230053,0.369529,0.361748,0.340221,0.268844,0.191665,0.214083,0.288706,0.191885,0.208154,0.182263,0.0473252,0.0237649,0.00761396,0.0693631,0.0628368,-0.0148191,-0.0160468,0.0760391,0.0795824,0.0157103,0.0785675,0.12036,0.0598825,-0.106912,-0.0114932,0.0185947,0.154608,0.186359,0.181309,0.230874,0.0670553,0.17263,0.141103,-0.0487288,-0.044664,-0.184465,-0.197983,-0.218265,-0.236007,-0.309134,-0.258377,-0.228784,-0.203238,-0.156453,-0.292191,-0.428665,-0.491668,-0.509066,-0.523682,-0.449655,-0.481627,-0.478487,-0.581089,-0.561377,-0.421554,-0.2984,-0.317152,-0.205769,-0.243878,-0.260706,-0.22991,-0.223888,-0.220105,-0.287141,-0.305842,-0.346962,-0.408843,-0.39369,-0.366881,-0.370952,-0.325288,-0.284508,-0.264257,-0.198494,-0.187384,-0.140817,-0.0635925,-0.0335493,0.0227684,0.0230582,-0.0175899,0.0371616,0.0592682,0.0447163,0.0423703,0.0445565,0.0225059,0.042146,0.00844204,0.0368552,0.0620947,0.00547485,0.0360287,-0.0247917,-0.051142,-0.00387308,-0.0355009,-0.0504091,-0.0714169,-0.0738563,-0.0997293,-0.133445,-0.119671,-0.0940773,-0.119317,-0.187266,-0.14711,-0.131275,-0.097597,-0.0762042,-0.0388327,-0.0400642,0.0107853,0.0121931,-1.64245E-4,-0.0240854,-0.0334393,-0.0215612,-0.0664297,-0.0459182,-0.0458037,-0.0434871,-0.0444387,-0.0376877,0.0216071
Unnamed: 7,,"DP 0,5 nm, 20 nm/min BW 5 nm, DIT 16 sec",A,7,0.5,20,5,16,1,-0.161722,-0.198623,-0.233062,-0.175618,-0.124698,-0.145242,-0.0726983,-0.0735741,-0.123131,-0.0769126,-0.0758445,-0.12538,-0.0875217,-0.0860266,-0.079232,-0.126105,-0.0705899,-0.0271467,-0.0106459,-0.00256997,-0.0245163,-0.0640874,-0.0522866,-0.088572,-0.189338,-0.22481,-0.246528,-0.253565,-0.221376,-0.190316,-0.273685,-0.223702,-0.208126,-0.2203,-0.237586,-0.354624,-0.35763,-0.367266,-0.322157,-0.321924,-0.294226,-0.253085,-0.215977,-0.150537,-0.102822,-0.160409,-0.139076,-0.146542,-0.129162,-0.140716,-0.147341,-0.19036,-0.165682,-0.177075,-0.178912,-0.305776,-0.291684,-0.346312,-0.320233,-0.22716,-0.23006,-0.175191,-0.138254,-0.146856,-0.194177,-0.212374,-0.239818,-0.246019,-0.313566,-0.307145,-0.286773,-0.235147,-0.157585,-0.0980365,-0.0118382,-0.123866,-0.117568,-0.185128,-0.0693317,-0.0134973,0.00460937,0.066612,0.060753,0.122495,0.267606,0.366197,0.204078,0.181014,0.158522,0.037515,0.0462116,0.0263855,0.0473377,0.0296886,-0.09248,-0.0774378,-0.106329,-0.0680418,-0.0466173,-0.0850506,-0.0762977,-0.0221373,-0.0316006,-0.0764258,-0.111913,0.0186165,0.0243009,0.0301343,-0.0345745,-0.0452828,-0.18562,-0.162881,-0.228015,-0.400037,-0.475194,-0.502089,-0.558569,-0.472711,-0.400281,-0.252472,-0.367075,-0.273868,-0.235616,-0.263561,-0.24424,-0.211264,-0.340968,-0.399846,-0.263001,-0.355955,-0.386824,-0.424075,-0.480528,-0.350415,-0.273541,-0.35167,-0.361363,-0.306925,-0.245474,-0.232049,-0.252029,-0.328372,-0.360436,-0.338909,-0.294741,-0.331058,-0.374366,-0.449138,-0.457207,-0.4266,-0.397395,-0.416865,-0.45836,-0.451905,-0.451841,-0.434413,-0.423567,-0.43761,-0.475155,-0.409293,-0.439673,-0.423436,-0.420981,-0.335796,-0.419215,-0.429824,-0.426146,-0.426887,-0.361458,-0.404902,-0.432587,-0.352476,-0.37294,-0.259522,-0.312202,-0.295184,-0.334231,-0.361082,-0.404162,-0.38632,-0.377533,-0.379898,-0.345697,-0.288872,-0.260023,-0.241024,-0.234338,-0.244046,-0.284882,-0.34641,-0.369582,-0.423052,-0.464332,-0.53126,-0.525639,-0.499234,-0.46329,-0.46753,-0.42367,-0.452172,-0.409426
Unnamed: 8,,"DP 1 nm, 20 nm/min BW 5 nm, DIT 16 sec",A,8,1,20,5,16,1,-0.135146,-0.155242,-0.0966621,-0.132248,-0.122202,-0.145824,-0.17976,-0.162092,-0.161522,-0.204141,-0.206891,-0.127274,-0.0798314,-0.113972,-0.0445088,0.0969258,0.0803259,0.077445,0.123704,0.152756,0.0524666,0.0115393,0.0357867,0.0324336,-0.0170476,-0.0299735,-0.0682847,-0.0553854,-0.0187676,-0.0280599,-0.0861399,-0.0776426,-0.04037,-0.0981579,-0.0746915,-0.070144,-0.110458,-0.127278,-0.0705901,-0.092795,-0.0382711,0.0192935,0.00344843,0.0453568,0.00542907,-0.0282736,0.108467,0.137731,0.105786,0.0814766,0.0903502,0.180072,0.15428,0.144631,0.00940252,0.107453,0.119702,0.163274,0.1571,0.166475,0.189873,0.110276,0.0751363,0.0781847,0.136604,0.0141168,0.00970409,0.0630105,0.0351144,0.127102,0.152953,0.191745,0.131551,0.200541,0.226564,0.159066,0.202452,0.136696,0.174341,0.215859,0.254983,0.278569,0.340248,0.295862,0.297963,0.374236,0.407064,0.444535,0.468593,0.418842,0.490582,0.464166,0.413986,0.333742,0.134986,0.200331,0.120177,0.116838,0.0935705,0.243767,0.276709,0.316613,0.20038,0.27612,0.195479,0.220761,0.261643,0.285317,0.240883,0.263293,0.179224,0.205179,0.34459,0.471343,0.341745,0.268606,0.299818,0.292513,0.279628,0.170043,-0.0800059,-0.178046,-0.135416,-0.252014,-0.329715,-0.331759,-0.25774,-0.247287,-0.311892,-0.255959,-0.19755,-0.258239,-0.164375,-0.178768,-0.146461,-0.17242,-0.0703838,-0.0348288,-0.0173842,-0.132084,-0.0454074,-0.0264547,-0.0352535,-0.0633307,-0.0948039,-0.159216,-0.0874863,-0.0683907,-0.0860133,-0.12013,-0.0796072,-0.129031,-0.0693545,-0.113457,-0.0897593,-0.0659367,-0.0412206,-0.0334087,0.0468171,0.0772911,0.0877743,0.0750436,0.0618777,0.103366,0.0874742,0.0725228,0.0124569,0.0246372,0.0744291,0.0166896,0.0228425,0.0257062,-0.0178106,-0.0611224,-0.0520414,-0.0659818,-0.0175741,0.00601366,0.019573,-0.0101299,-0.0454457,-0.0482685,0.0315249,0.00802924,-0.0166865,-0.0246587,0.00983777,0.00285121,-0.0550279,-0.130876,-0.173601,-0.189029,-0.1447,-0.180316,-0.0910103,-0.191063,-0.1572,-0.102045,-0.0529189,-0.147904,-0.0865573
Unnamed: 9,,"DP 0.1 nm, 50 nm/min BW 8 nm  DIT 8 sec",B,1,0.1,50,8,8,1,-0.275506,-0.209044,-0.202515,-0.25055,-0.19508,-0.200031,-0.239386,-0.334949,-0.253976,-0.199471,-0.189606,-0.198163,-0.233735,-0.252074,-0.253791,-0.206081,-0.262619,-0.260823,-0.289521,-0.240041,-0.288885,-0.26051,-0.16874,-0.155618,-0.101297,-0.0636604,-0.0133642,0.0463383,0.0350331,-0.0321239,0.00424432,-0.0565972,-0.0863344,-0.133123,-0.200994,-0.29466,-0.327471,-0.287456,-0.246806,-0.250939,-0.295753,-0.280231,-0.29135,-0.275352,-0.198786,-0.132352,-0.197522,-0.236084,-0.274502,-0.13977,-0.135645,-0.0365459,-0.00986298,0.0606223,-0.00546713,0.1273,0.0715345,0.0818801,0.0104317,-0.00793057,-0.00982197,0.101686,0.0706691,0.0829615,0.0683785,0.150843,0.170337,0.13283,0.0556188,0.0318876,0.0720726,-0.108801,-0.130539,-0.209368,-0.272601,-0.306897,-0.457646,-0.426488,-0.403544,-0.622798,-0.652535,-0.585539,-0.690935,-0.618839,-0.514717,-0.332939,-0.229632,-0.200974,-0.0418122,0.111184,0.258944,0.391204,0.277543,0.349685,0.349826,0.370541,0.401279,0.425614,0.399097,0.289639,0.299549,0.358401,0.133323,0.144501,0.223085,0.136272,-0.0151399,-0.0483744,-0.0314879,-0.100009,-0.18092,-0.0790303,-0.158091,-0.236762,-0.182651,-0.116329,-0.182511,-0.0946647,-0.179086,-0.0638831,-0.19058,-0.225063,-0.151597,-0.28478,-0.412527,-0.59205,-0.510515,-0.559506,-0.560873,-0.474419,-0.551164,-0.440306,-0.46727,-0.318295,-0.154626,-0.192041,-0.12942,-0.0927481,-0.0839149,-0.0389619,-0.0617702,-0.00724817,-0.058956,-0.140607,-0.174505,-0.192082,-0.245255,-0.298055,-0.30846,-0.326326,-0.354492,-0.362171,-0.251316,-0.198836,-0.210382,-0.145926,-0.121225,-0.137511,-0.138687,-0.150533,-0.0968083,-0.100902,-0.0921995,-0.0736117,-0.149105,-0.14375,-0.129319,-0.107575,-0.0792065,-0.0685643,-0.105075,-0.148336,-0.172041,-0.163005,-0.147269,-0.148889,-0.205366,-0.204113,-0.252865,-0.267582,-0.252374,-0.304738,-0.289726,-0.271289,-0.236043,-0.187287,-0.22541,-0.200468,-0.153897,-0.12058,-0.114875,-0.113137,-0.127012,-0.119429,-0.138258,-0.124751,-0.108848,-0.0988795,-0.0817408,-0.0841704,-0.0891467
